PLAYER,NO SHOES,WEIGHT,WING DIFF,WINGSPAN,REACH,BODY FAT %,HAND L,HAND W,STD VERT,MAX VERT,SHUTTLE,3/4 SPRINT,BENCH
Precious Achiuwa,79.5,234,5.25,84.75,108.5,6.7,9,10,NA,NA,NA,NA,NA
Ty-Shon Alexander,74,200.8,6,80,100,12.3,8.75,8.75,28,33,2.47,3.26,NA
Udoka Azubuike,82,259.5,9.25,91.25,109,9.61,9.25,10,37,41,3.61,3.23,NA
Tyler Bey,78,212.8,7.25,85.25,105.5,5,8.5,9,37,43.5,2.75,3.17,NA
Yoeli Childs,78,226.4,5.5,83.5,106,8.2,8.75,10,34,38.5,2.42,3.22,NA
Mamadi Diakite,80.5,222.1,7.25,87.75,107,7.83,9,10.25,28,37,2.71,3.16,NA
Devon Dotson,72.5,185.2,2.5,75,95,4.6,8.25,10,31.5,40.5,2.22,3.02,NA
Paul Eboua,78,222.2,9.5,87.5,108,3.8,9,10.25,33,35.5,2.44,3.19,NA
CJ Elleby,77.5,198.6,1.75,79.25,100.5,4.2,8.75,10,30.5,36.5,2.63,3.25,NA
Trent Forrest,75.5,203,4,79.5,102.5,5.65,9,9.75,28,34.5,2.5,3.18,NA
Josh Green,76.5,214,5.25,81.75,101.5,6.8,8,8.75,30.5,39.5,2.28,3.12,NA
Ashton Hagans,73.5,193,6.5,80,99.5,4.1,9,9,29.5,36.5,2.5,3.13,NA
Joshua Hall,78,196.6,5,83,104.5,7.6,8.75,9.5,31.5,37.5,2.62,3.38,NA
Jalen Harris,74.75,193.4,4.25,79,97.5,4.4,8.25,9.5,37.5,42.5,2.49,3.11,NA
Markus Howard,69.5,170.8,2.75,72.25,91.5,9.91,8.5,7.75,30.5,35.5,3.17,3.11,NA
Elijah Hughes,76.75,229,2.75,79.5,101.5,10.2,8.5,8.75,NA,NA,NA,NA,NA
Isaiah Joe,75,170.4,4.5,79.5,101,4.7,8.25,8.25,NA,NA,NA,NA,NA
Mason Jones,75.75,207.2,3.25,79,102.5,8.9,8.75,8.5,24,31,2.49,3.33,NA
Nathan Knight,80,235,6,86,109.5,8.2,9,9.5,23,31.5,2.96,3.31,NA
Theo Maledon,76,187.4,4.75,80.75,100.5,2.8,8.5,10,NA,NA,NA,NA,NA
Karim Mane,77,196,6,83,102,3.73,8.5,9.75,31,36,2.64,3.04,NA
Naji Marshall,77.75,233.5,7,84.75,102.5,8.7,9.25,10.5,28.5,35,2.9,3.37,NA
Kenyon Martin Jr.,78,213.2,1.25,79.25,102,5.9,8.5,8.75,31.5,38.5,2.58,3.16,NA
Skylar Mays,75,204,3,78,99,7.4,8,9.75,29,37.5,2.4,3.3,NA
Zeke Nnaji,81.25,246.8,4.75,86,105.5,5.9,9,10.5,33,38,2.72,3.2,NA
Jordan Nwora,77.75,223,4.5,82.25,104,11.68,8.5,9.25,29,35,2.66,3.43,NA
Reggie Perry,80.25,249.6,4,84.25,106.5,8.4,9.25,11,30,33.5,2.57,3.25,NA
Myles Powell,72.5,194,6.5,79,99,15.8,8,9,NA,NA,NA,NA,NA
Immanuel Quickley,74,185.8,6.25,80.25,99,8.2,8,8.75,29.5,35.5,2.46,3.17,NA
Jahmi'us Ramsey,74.5,193.4,3.5,78,100.5,3.4,8.75,9.75,NA,NA,NA,NA,NA
Paul Reed Jr.,80.5,219.2,5.5,86,109.5,6.83,9,8.75,26.5,37.5,2.67,3.45,NA
Nick Richards,82.5,241.6,3.75,86.25,110,8.5,9,9,30,34,2.92,3.25,NA
Grant Riller,72.25,178.4,5,77.25,96.5,5.4,8,8.5,32.5,39.5,2.45,3.07,NA
Jayden Scrubb,77,185.2,4.5,81.5,104.5,3.7,8.25,9.75,NA,NA,NA,NA,NA
Jalen Smith,81.25,224.6,5,86.25,110,3.7,9.25,9.25,NA,NA,NA,NA,NA
Cassius Stanley,77,201.6,2,79,99.5,5.8,8.25,9,34.5,44,2.43,3.09,NA
Lamar Stevens,77.75,228,3.25,81,101,6.8,8.5,9.75,35,41,2.54,3.2,NA
Isaiah Stewart,79.25,243,9.5,88.75,108.5,7.5,9,10.5,NA,NA,NA,NA,NA
Tyrell Terry,73.5,170,0.25,73.75,96,7.6,7.5,8.25,30,34,2.59,3.28,NA
Killian Tillie,80.75,221.6,-0.75,80,106,12.43,8.25,9.25,27.5,32,2.62,3.4,NA
Xavier Tillman Sr.,79.5,266.5,6.5,86,106,8.5,10.25,11,26,32.5,3.01,3.49,NA
Kaleb Wesson,81.25,252.6,6.25,87.5,111.5,12.5,9,10.75,21.5,27,2.64,3.6,NA
Kahlil Whitney,77.5,205,6.75,84.25,105.5,5.3,9.25,10.25,29,39,2.61,3.28,NA
Cassius Winston,72.5,196,5.5,78,97,9,8.75,8.25,24,28,2.74,3.61,NA
Robert Woodard II,77.5,230.2,8.5,86,105.5,4.5,9,10.75,32,38,2.49,3.18,NA
